Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino
Czechia,CZE,2021-03-23,1123594,129114,195294,24,0,0,0,0
Czechia,CZE,2021-03-24,1154181,133273,203076,25,0,0,0,0
Czechia,CZE,2021-03-25,1186726,137330,210594,25,0,0,0,0
Czechia,CZE,2021-03-26,1220668,139897,216340,25,0,0,0,0
Czechia,CZE,2021-03-27,1231782,141144,217223,27,0,0,0,0
Czechia,CZE,2021-03-28,1239771,142689,217350,27,0,0,0,0
Czechia,CZE,2021-03-29,1269781,148692,221122,29,0,0,0,0
Czechia,CZE,2021-03-30,1302363,157559,226504,31,0,0,0,0
Czechia,CZE,2021-03-31,1336446,168590,231482,36,0,0,0,0
Czechia,CZE,2021-04-01,1378726,179325,236055,42,0,0,0,0
Czechia,CZE,2021-04-02,1395243,181878,236631,54,0,0,0,0
Czechia,CZE,2021-04-03,1407823,183584,236845,55,0,0,0,0
Czechia,CZE,2021-04-04,1417891,184892,236851,57,0,0,0,0
Czechia,CZE,2021-04-05,1425947,186299,236925,60,0,0,0,0
Czechia,CZE,2021-04-06,1459761,194779,239921,68,0,0,0,0
Czechia,CZE,2021-04-07,1488774,203193,248046,73,0,0,0,0
Czechia,CZE,2021-04-08,1540697,209448,259481,81,0,0,0,0
Czechia,CZE,2021-04-09,1591293,217056,270907,86,0,0,0,0
Czechia,CZE,2021-04-10,1616923,218624,274409,95,0,0,0,0
Czechia,CZE,2021-04-11,1635033,219768,274912,100,0,0,0,0
Czechia,CZE,2021-04-12,1680766,228397,283855,105,0,0,0,0
Czechia,CZE,2021-04-13,1722859,238999,293378,105,0,0,0,0
Czechia,CZE,2021-04-14,1768420,249444,303466,105,0,0,0,0
Czechia,CZE,2021-04-15,1823225,258957,312586,105,0,0,0,0
Czechia,CZE,2021-04-16,1876644,269015,319330,105,0,0,0,0
Czechia,CZE,2021-04-17,1899314,271398,319947,105,0,0,0,0
Czechia,CZE,2021-04-18,1916206,272296,320095,105,0,0,0,0
Czechia,CZE,2021-04-19,1963030,279263,325713,105,0,0,0,0
Czechia,CZE,2021-04-20,2007711,286157,332496,106,0,0,0,0
Czechia,CZE,2021-04-21,2056795,291596,339987,106,0,0,0,0
Czechia,CZE,2021-04-22,2114489,297512,348132,135,0,0,0,0
Czechia,CZE,2021-04-23,2165896,301400,354344,356,0,0,0,0
Czechia,CZE,2021-04-24,2187396,302233,355026,368,0,0,0,0
Czechia,CZE,2021-04-25,2204377,303693,355205,384,0,0,0,0
Czechia,CZE,2021-04-26,2250429,308024,360842,927,0,0,0,0
Czechia,CZE,2021-04-27,2296666,314353,367554,1863,0,0,0,0
Czechia,CZE,2021-04-28,2351314,322788,374255,3316,0,0,0,0
Czechia,CZE,2021-04-29,2415072,330649,380800,4926,0,0,0,0
Czechia,CZE,2021-04-30,2476555,334453,384700,6390,0,0,0,0
Czechia,CZE,2021-05-01,2497632,335652,384925,6494,0,0,0,0
Czechia,CZE,2021-05-02,2518103,336149,385042,6523,0,0,0,0
Czechia,CZE,2021-05-03,2581885,339159,388258,7651,0,0,0,0
Czechia,CZE,2021-05-04,2642076,346274,392575,9225,0,0,0,0
Czechia,CZE,2021-05-05,2708712,351938,398820,11197,0,0,0,0
Czechia,CZE,2021-05-06,2783005,357355,406203,13168,0,0,0,0
Czechia,CZE,2021-05-07,2855792,362237,411988,15102,0,0,0,0
Czechia,CZE,2021-05-08,2885254,363338,412264,15251,0,0,0,0
Czechia,CZE,2021-05-09,2909111,364407,412675,15260,0,0,0,0
Czechia,CZE,2021-05-10,2974010,370065,418668,16947,0,0,0,0
Czechia,CZE,2021-05-11,3041298,376384,426253,18767,0,0,0,0
Czechia,CZE,2021-05-12,3111181,384760,433681,20354,0,0,0,0
Czechia,CZE,2021-05-13,3186867,392172,440683,21863,0,0,0,0
Czechia,CZE,2021-05-14,3260426,397666,446563,22959,0,0,0,0
Czechia,CZE,2021-05-15,3291648,398401,448503,23023,0,0,0,0
Czechia,CZE,2021-05-16,3317113,399105,449297,23033,0,0,0,0
Czechia,CZE,2021-05-17,3384904,404083,453928,23913,0,0,0,0
Czechia,CZE,2021-05-18,3453915,411931,459964,24911,0,0,0,0
Czechia,CZE,2021-05-19,3527070,422301,466515,26138,0,0,0,0
Czechia,CZE,2021-05-20,3608829,432893,473274,27764,0,0,0,0
Czechia,CZE,2021-05-21,3688624,440880,479061,29190,0,0,0,0
Czechia,CZE,2021-05-22,3728005,442743,480940,29363,0,0,0,0
Czechia,CZE,2021-05-23,3756918,443652,482409,29372,0,0,0,0
Czechia,CZE,2021-05-24,3820002,452324,488775,30649,0,0,0,0
Czechia,CZE,2021-05-25,3884029,461123,499953,32435,0,0,0,0
Czechia,CZE,2021-05-26,3964480,471078,510930,34343,0,0,0,0
Czechia,CZE,2021-05-27,4049207,481168,520503,36453,0,0,0,0
Czechia,CZE,2021-05-28,4133944,491083,529807,38552,0,0,0,0
Czechia,CZE,2021-05-29,4174811,493697,532268,38689,0,0,0,0
Czechia,CZE,2021-05-30,4207947,494694,534865,38696,0,0,0,0
Czechia,CZE,2021-05-31,4290796,503025,543204,40545,0,0,0,0
Czechia,CZE,2021-06-01,4371811,513440,554992,42825,0,0,0,0
Czechia,CZE,2021-06-02,4462762,522776,566542,45288,0,0,0,0
Czechia,CZE,2021-06-03,4553989,532356,578472,48098,0,0,0,0
Czechia,CZE,2021-06-04,4648061,541645,588987,51350,0,0,0,0
Czechia,CZE,2021-06-05,4697785,542528,591030,51474,0,0,0,0
Czechia,CZE,2021-06-06,4738174,543061,591953,51546,0,0,0,0
Czechia,CZE,2021-06-07,4834524,550871,600764,54676,0,0,0,0
Czechia,CZE,2021-06-08,4928525,559092,611290,57733,0,0,0,0
Czechia,CZE,2021-06-09,5024793,568526,621849,61364,0,0,0,0
Czechia,CZE,2021-06-10,5122374,578711,632714,64487,0,0,0,0
Czechia,CZE,2021-06-11,5220226,587678,641322,67623,0,0,0,0
Czechia,CZE,2021-06-12,5270406,588623,642706,67720,0,0,0,0
Czechia,CZE,2021-06-13,5312074,589020,642888,67773,0,0,0,0
Czechia,CZE,2021-06-14,5408919,597253,650389,70159,0,0,0,0
Czechia,CZE,2021-06-15,5502068,607799,659223,72330,0,0,0,0
Czechia,CZE,2021-06-16,5599860,617250,667756,74864,0,0,0,0
Czechia,CZE,2021-06-17,5701746,625217,675858,77048,0,0,0,0
Czechia,CZE,2021-06-18,5806679,633195,681635,79089,0,0,0,0
Czechia,CZE,2021-06-19,5855769,634393,682245,79111,0,0,0,0
Czechia,CZE,2021-06-20,5895407,635687,682348,79149,0,0,0,0
Czechia,CZE,2021-06-21,5987801,644943,688785,80589,0,0,0,0
Czechia,CZE,2021-06-22,6081618,654425,697367,82203,0,0,0,0
Czechia,CZE,2021-06-23,6175383,665392,705787,84006,0,0,0,0
Czechia,CZE,2021-06-24,6273427,675287,713952,85831,0,0,0,0
